所在页面,字号类别,KW,CN（中文）,EN（英文）,FR（法）,DE（德）,ES（西班牙）,IT（意大利）,PT（葡萄牙）,KO（韩）,JP（日）,RU（俄罗斯）,PL（波兰）,TC（繁）,DA（丹麦）,CZ(捷克),瑞典,挪威,荷兰
首页、天气短文案,,KW_LAUNCHER_WEATHER_WORD_THUNDER_SHOWER,雨势来袭，室内训练不打烊,"Embrace the calm, have a rest.","Profitez du calme, reposez-vous.","Umarmen Sie die Ruhe, ruhen Sie sich aus.",Puedes tomarte un descanso hoy mismo,"Piove, possiamo prendere il giorno libero.","Está a chover, podemos tirar o dia de folga.",비가 오니 하루 쉬겠습니다.,落ち着いた時間を楽しみ、休息を取りましょう。,Идет дождь. Возьмите выходной.,Pada. Zrób sobie przerwę.,雨勢來襲，室內訓練不打烊,"Nyd roen, tag en pause.",Klid před bouří - odpočinek,Njut av lugnet och vila.,Nyt roen og ta en hvil.,Geniet van de rust en neem pauze.
首页、天气短文案,,KW_LAUNCHER_WEATHER_WORD_MODERATE_RAINY,骑行暂停，骑待天晴,"Rain's here, ride indoors.","La pluie arrive, roulez en intérieur.",Es regnet und wir können heute nicht radeln.,Podemos comenzar a ciclismo en interiores,Possiamo iniziare a praticare l'indoor cycling,Podemos começar a praticar ciclismo indoor,실내 사이클링을 시작할 수 있습니다.,雨が降っています。屋内で走りましょう。,Велоспорт в помещении - хороший вариант,Jazda na rowerze w pomieszczeniu to świetna opcja,騎行暫停，騎待天晴,"Regnen er kommet, cykl indendørs.","Prší, Přepnout na INDOOR","Regnet är här, cykla inomhus.","Regnet er her, sykle innendørs.","De regen is er, fiets binnen."
首页、天气短文案,,KW_LAUNCHER_WEATHER_WORD_HEAVY_RAINY,雨天锁户外，骑行室内赛,Rain hits! Indoor cycling for workouts.,La pluie tombe ! Optez pour le vélo en intérieur pour l'entraînement.,"Es regnet, mit dem Innentraining beginnen","Lluvia, comienza el entrenamiento bajo techo","Piove, inizia l'allenamento al coperto","Chuva, início dos treinos em recinto fechado",비가 오니 실내에서 훈련을 시작합시다.,雨です！ワークアウトは屋内サイクリングにしましょう。,Тренировки в помещении начинаются!,Rozpoczął się trening halowy!,雨天鎖戶外，騎行室內賽,Regn! Indendørscykling til træning.,Liják! TRÉNUJTE UVNITŘ,Regnet kommer! Träna med inomhuscykling.,Regnet kommer! Tren med innendørssykling.,Het regent! Train met indoor fietsen.
首页、天气短文案,,KW_LAUNCHER_WEATHER_WORD_SNOW,雪花动真格，骑行易翻车,"Snowy white, riding isn't advisable.","Blancheur neigeuse, rouler n'est pas conseillé.","Nicht Fahrrad fahren, wenn es schneit",No circule en bicicleta por la nieve,Non andate in bicicletta nella neve,Não ande de bicicleta na neve,눈 속에서 자전거를 타지 마세요.,雪景色です。ライドはおすすめできません。,Не катайтесь на велосипеде по снегу,Nie należy jeździć na rowerze po śniegu,雪花動真格，騎行易翻車,Snedækket? Cykling frarådes.,SNÍH! Nedoporučujeme jízdu,"Snövitt ute, cykling rekommenderas inte.","Snøhvitt ute, sykling anbefales ikke.","Sneeuwwit buiten, fietsen wordt afgeraden."
首页、天气短文案,,KW_LAUNCHER_WEATHER_WORD_FOGGY,骑逢大雾，控速亮灯慢行,"Misty air, riding beware.","Air brumeux, prudence à vélo.",Bei Nebel ist Sicherheit oberstes Gebot,La seguridad es primordial con niebla,La sicurezza è fondamentale nella nebbia,A segurança é fundamental no nevoeiro,안개 속에서는 안전이 가장 중요합니다.,霧が出ています。ライド時は注意してください。,В тумане безопасность превыше всего.,We mgle bezpieczeństwo jest najważniejsze.,騎逢大霧，控速亮燈慢行,Tåget luft? Vær forsigtig under cykling.,Mlha: Zvyšte pozornost,"Disig luft, cykla med försiktighet.","Disig luft, vær forsiktig når du sykler.","Mistige lucht, wees voorzichtig met fietsen."
首页、天气短文案,,KW_LAUNCHER_WEATHER_WORD_SMOG,霾伏重重，给肺放个假,Hazy air! Lungs in despair.,Air pollué ! Les poumons en souffrent.,Schlechte Luft lässt die Lunge verzweifeln,El aire viciado desespera a los pulmones,L'aria viziata fa disperare i polmoni,O ar viciado faz desesperar os pulmões,탁한 공기! 절망에 빠진 폐.,空気がかすんでいます！肺への負担に注意してください。,Плохой воздух приводит легкие в отчаяние,Złe powietrze doprowadza płuca do rozpaczy,霾伏重重，給肺放個假,Diset luft! Lungerne lider.,SMOG! Chraňte plíce,Disig luft! Skona lungorna.,Disig luft! Skån lungene.,Heiige lucht! Spaar je longen.
首页、天气,,KW_LAUNCHER_WEATHER_NO_NET_NOTICE,连接APP/Wi-Fi获取天气信息,Please connect to APP/Wi-Fi to get weather updates.,Veuillez vous connecter à l'APP/au Wi-Fi pour obtenir les mises à jour météo.,"Bitte verbinden Sie sich mit APP/Wi-Fi, um das Wetter zu erfahren",Conéctate a la APP/Wi-Fi para obtener información meteorológica,Connettersi alle app/Wi-Fi per le informazioni meteo,Ligação à APP/Wi-Fi para obter informações meteorológicas,앱/와이파이에 연결하여 날씨 정보 얻기,APP/Wi-Fiに接続して天気情報を取得してください。,"Подключите APP/Wi-Fi, чтобы узнать погоду","Podłącz aplikację/Wi-Fi, aby sprawdzić pogodę",連接APP/Wi-Fi獲取天氣資訊,Forbind til appen/Wi-Fi for at få vejropdateringer.,Aktualizace počasí: APP/Wi-Fi,Anslut till APP/Wi-Fi för att få väderuppdateringar.,Koble til APP/Wi-Fi for å få væroppdateringer.,Verbind met APP/Wi-Fi om weersupdates te ontvangen.
首页-更多功能页,,KW_LAUNCHER_FREE_RIDE_CARD_TITLE,附近坡段,Nearby Climbs,Montées proches,Nahe Anstiege,Subidas Cercanas,Salite vicine,Subidas Próximas,가까운 클라임,近くのクライム,Бл. подъёмы,Bliskie podjazdy,附近坡段,Nære stign.,Blížící se stoupání ,Närliggande stigningar,Klatringer i nærheten,Beklimmingen in de buurt
首页导航、团骑、赛段卡片,,KW_LAUNCHER_MORE,更多,More,Plus,Mehr,Más,Di più,Mais,더 많은,その他,Подробнее,Więcej,更多,Mere,Více,Mer,Mer,Meer
首页,,KW_LAUNCHER_TODAY_COURSE,今日课程,Today's Workout,Entraînement du jour,Heutiges Training,Entrenamiento de hoy,Allenamento di oggi,Treino de hoje,오늘의 워크아웃,今日のワークアウト,Тренировка сегодня,Dzisiejszy trening,今日課程,Dagens træning,Dnešní trénink,Dagens träningspass,Dagens økt,Training van vandaag
首页、骑行菜单页,H4、H5,KW_LAUNCHER_COURSE_TRAINING,课程,Workouts,Entraînements,Trainings,Entrenamientos,Allenamenti,Treinos,워크아웃,ワークアウト,Тренировки,Treningi,課表訓練,Træninger,Tréninky,Träningspass,Treningsøkter,Trainingen
706、616新首页-更多功能页,H5,KW_LAUNCHER_GROUP_RIDE,团队骑行,Group Ride,Sortie de groupe,Gruppenfahrt,Paseo en grupo,Gruppo di corsa,Viagem em grupo,그룹 라이드,グループライド,Групповой поездка,Wyprawa grupowa,團隊騎行,Gruppetur,Skupinová jízda,Grupptur,Gruppetur,Groepsrit
首页团骑卡片,,KW_LAUNCHER_NO_GROUP_RIDE_NOTICE,今日暂无团骑，请连接APP创建或加入,No group rides today. Connect to APP to create or join.,Aucune sortie de groupe aujourd'hui. Connectez-vous à l'APP pour en créer une ou en rejoindre une.,"Keine Gruppenfahrten heute. Verbinden Sie sich mit der APP, um eine zu erstellen oder beizutreten.",Hoy no hay paseos en grupo. Conéctate a la APP para crear o unirte.,Oggi non ci sono giri di gruppo. Connettiti all'APP per creare o partecipare.,Hoje não há rides em grupo. Conecte-se ao APP para criar ou participar.,오늘은 그룹 타기 없습니다. APP에 연결하여 만들거나 참여하십시오.,今日はグループライドがありません。APPに接続して作成または参加してください。,"Сегодня нет групповых поездок. Подключитесь к приложению, чтобы создать или присоединиться.","Dziś brak wypraw grupoowych. Podłącz się do aplikacji, aby stworzyć lub dołączyć.",今日暫無團騎，請連接APP創建或加入,Ingen gruppeture i dag. Tilslut APP'en for at oprette eller deltage,Dnes žádné skup. jízdy → Vytvořte/ Přidejte se v APP,Inga gruppturer idag. Anslut till appen för att skapa eller gå med.,Ingen gruppeturer i dag. Koble til appen for å opprette eller bli med.,Geen groepsritten vandaag. Maak verbinding met de app om er een te maken of deel te nemen.
数据同步页,H5,KW_LAUNCHER_DATA_SYNCING_TITLE,配置中,Configuring,Configuration en cours,Wird konfiguriert,Configurando,Configurazione,A configurar,설정 중,設定中,Настройка…,Konfigurowanie,配置中,Konfigurerer,Konfigurace,Konfigurerar,Konfigurerer,Configureren
数据同步页,H3,KW_LAUNCHER_DATA_SYNCING_CONTENT,数据同步中，请勿关闭码表...,"Data syncing, please do not turn off the device","Synchronisation des données, veuillez ne pas éteindre l'appareil","Daten werden synchronisiert, bitte schalten Sie das Gerät nicht aus.","Sincronizando datos, no apague el dispositivo","Sincronizzazione dati, non spegnere il dispositivo","A sincronizar dados, não desligue o dispositivo",데이터를 동기화하는 중입니다. 기기의 전원을 끄지 마세요.,データを同期中です。デバイスの電源を切らないでください,"Синхронизация данных, не выключайте устройство…","Trwa synchronizacja danych, nie wyłączaj urządzenia",數據同步中，請勿關閉碼表...,"Data synkroniseres, sluk ikke enheden","Probíhá synchronizace dat, nevypínejte zařízení","Data synkroniseras, stäng inte av enheten",Synkroniserer data. Ikke slå av enheten.,"Gegevens worden gesynchroniseerd, schakel het apparaat niet uit"
数据同步页,,KW_LAUNCHER_DATA_SYNCING_GUIDANCE,请跟随APP提示，快速完成配置。,Follow the app prompts to complete setup quickly.,Suivez les instructions de l'app pour terminer la configuration rapidement.,"Folgen Sie den Anweisungen in der App, um die Einrichtung schnell abzuschließen.",Siga las indicaciones de la app para completar la configuración rápidamente.,Segui le istruzioni dell'app per completare rapidamente la configurazione.,Siga as instruções da app para concluir a configuração rapidamente.,앱의 안내에 따라 설정을 빠르게 완료하세요.,アプリの案内に従って、すばやくセットアップを完了してください。,"Следуйте подсказкам в приложении, чтобы быстро завершить настройку.","Postępuj zgodnie z instrukcjami w aplikacji, aby szybko zakończyć konfigurację.",請依照APP提示，快速完成設定。,Følg vejledningen i appen for hurtigt at fuldføre opsætningen.,Postupujte podle pokynů v aplikaci pro rychlé dokončení nastavení.,Följ anvisningarna i appen för att snabbt slutföra inställningen.,Følg instruksjonene i appen for å fullføre oppsettet.,Volg de aanwijzingen in de app om de installatie snel te voltooien.
数据同步页的完成弹窗,H4,KW_LAUNCHER_DATA_SYNC_SUCCESS_REMINDER,配置完成,Configuration Completed,Configuration terminée,Konfiguration abgeschlossen,Configuración Completada,Configurazione completata,Configuração Concluída,설정 완료,設定が完了しました,Настройка завершена,Konfiguracja zakończona,配置完成,Konfiguration fuldført,Konfigurace dokončena,Konfiguration slutförd,Oppsett fullført,Configuratie voltooid
开机动画,,KW_LAUNCHER_DEVICE_INIT_NOTICE,设备初始化中...\n请耐心等待,The device is initializing...\nPlease wait patiently.,Initialisation de l'appareil...\nVeuillez patienter.,Das Gerät wird initialisiert...\nBitte warten Sie geduldig.,"El dispositivo se está inicializando...\nPor favor, espere pacientemente.",Il dispositivo si sta inizializzando...\nAttendi.,A Inicializar… \nAguarde ,기기를 초기화하는 중입니다... \n잠시만 기다려주세요,デバイスを初期化しています...\nしばらくお待ちください。,"Инициализация устройства…\nПожалуйста, подождите",Urządzenie się inicjalizuje...\nProszę czekać.,設備初始化中...\n請耐心等待,Enheden initialiseres...\nVent venligst.,Zařízení se inicializuje...\nProsím vyčkejte.,Enheten initieras...\nVänta en stund.,Enheten starter opp...\nVennligst vent.,Het apparaat wordt geïnitialiseerd...\nEven geduld.
开机扫码配对页,H5,KW_LAUNCHER_PRODUCT_ACTIVE_ON,码表激活,Activate Device,Activer l'appareil,Gerät aktivieren,Activar dispositivo,Attiva dispositivo,Ativar Dispositivo,기기 활성화,デバイスを有効化,Активировать устройство,Aktywuj urządzenie,碼表激活,Aktivér enhed,Aktivovat zařízení,Aktivera enhet,Aktiver enhet,Apparaat activeren
开机语言选择页,H4,KW_LAUNCHER_NEXT_STEP,下一步,Next,Suivant,Weiter,Siguiente,Avanti,Seguinte,다음,次へ,Далее,Dalej,下一步,Næste,Další,Nästa,,Volgende
手动关机弹窗,,KW_LAUNCHER_MANUAL_POWER_OFF_HEADER,电源选项,Power Options,Options d'alimentation,Energieoptionen,Opciones de alimentación,Opzioni alimentazione,Opções de Energia,전원 옵션,電源オプション,Параметры питания,Opcje zasilania,電源選項,Strømstyring,Možnosti napájení,Strömalternativ,Strøminnstillinger,Voedingsopties
手动关机弹窗、充电提醒弹窗、关机充电页,H3、H4,KW_LAUNCHER_MANUAL_POWER_OFF_TITLE,当前电量%d%%,Current Battery: %d%%,Batterie actuelle : %d%%,Aktueller Akku: %d%%,Batería actual: %d%%,Batteria attuale: %d%%,Bateria Atual: %d%%,현재 배터리: %d%%,現在のバッテリー残量: %d%%,Заряд батареи: %d%%,Aktualna bateria: %d%%,當前電量: %d%%,Aktuelt batteri: %d%%,Aktuální baterie: %d%%,Aktuell batterinivå: %d%%,Batterinivå: %d%%,Huidig batterijniveau: %d%%
手动关机弹窗、下放1.7后可删,H4,KW_LAUNCHER_MANUAL_POWER_OFF_CONTENT,是否关机,Power Off?,Éteindre ?,Ausschalten?,Apagar?,Spegnere?,Desligar?,전원을 끄시겠습니까?,電源を切りますか？,Выключить устройство?,Wyłączyć?,是否關機?,Sluk?,Vypnout?,Stäng av?,Slå av?,Uitschakelen?
手动关机弹窗,H4,KW_LAUNCHER_POWER_OFF,关机,Power Off,Éteindre,Ausschalten,Apagar,Spegni,Desligar,전원 끄기,電源オフ,Выключить,Wyłącz,關機,Sluk,Vypnout,Stäng av,Slå av,Uitschakelen
手动关机弹窗,H4,KW_LAUNCHER_SCREEN_OFF,熄屏,Screen Off,Écran éteint,Bildschirm aus,Apagar pantalla,Schermo spento,Tela Desligada,화면 끄기,画面オフ,Погасить экран,Wyłącz ekran,螢幕關閉,Sluk Skærm,Vypnout displej,Skärm av,Skjerm av,Scherm uit
低电量关机弹窗,H4,KW_LAUNCHER_LOW_POWER_REMINDER,低电量，将自动关机,"Low battery, auto-off soon.","Batterie faible, extinction automatique imminente.","Akku niedrig, automatische Abschaltung in Kürze.","Batería baja, apagado automático pronto.","Batteria scarica, spegnimento automatico imminente.","Bateria fraca, desligamento automático em breve.",배터리가 부족합니다. 곧 전원이 꺼집니다.,バッテリー残量が少ないため、まもなく自動オフします。,Низкий заряд. Устройство скоро выключится.,"Niski poziom baterii, wkrótce automatyczne wyłączenie.",低電量，將自動關機,"Lavt batteri, slukker snart automatisk.","Nízká baterie, brzy automatické vypnutí.","Låg batterinivå, stängs snart av automatiskt.",Lavt batteri. Slår seg snart av.,"Batterij bijna leeg, wordt binnenkort automatisch uitgeschakeld."
